R_SLR,Score,Protein,Lipid_Tot,Carbohydrt,Fiber_TD,Sugar_Tot,Calcium_DV,Iron_DV,Sodium,Vit_C_DV,Vit_A_DV,FA_Sat,Cholestrl
1.559625062,2,0.85,81.11,0.06,0,0.06,2.4,0.25,576,0,312.375,51.368,215
1.553305779,3,21.4,28.74,2.34,0,0.5,52.8,3.875,1395,0,95.375,18.669,75
4.255576101,4.333333333,25.96,20.03,3.83,0,0.6,73.1,3.125,528,0,75.625,10.877,54
6.538740739,6.833333333,3.3,1.98,4.8,0,5.06,12,0.25,47,0.25,23.75,1.257,8
6.602240067,7.666666667,3.57,0.25,5.02,0,5.02,12.9,0.625,53,1.25,26.75,0.162,2
6.177937856,5.666666667,2.99,1.9,12.13,0.7,9.55,10.9,3,66,0,28.375,1.177,8
7.697419316,8,12.57,9.94,0.78,0,0.77,5.3,22.875,140,0,60.875,3.1,423
7.387047251,8.066666667,18.6,15.06,0,0,0,1.1,11.25,70,2,17.5,4.31,75
7.779427488,8.666666667,21.39,3.08,0,0,0,1.2,11.125,77,2.875,6.5,0.79,70
7.642923962,8.9,20.42,8.02,0,0,0,1.5,17.875,65,0,0.75,2.26,68
5.980921296,4.466666667,3.02,1.41,7.84,1.2,1.67,2.8,13.75,417,6.375,167.5,0.88,6
7.172657429,6,2.54,1.52,12,1.7,0.27,0.9,11.25,4,0,0,0.31,0
2.210515452,3.9,5.5,1,88,0.3,31,0.8,225,726,25,208.375,0.3,0
5.330991261,5.6,10.9,4.7,76,7,22,4.5,41.25,241,68.125,286,0.9,0
6.922522588,8.666666667,0.26,0.17,13.81,2.4,10.39,0.6,1.5,1,5.75,6.75,0.028,0
6.713116383,6.8,0.17,0.1,11.27,1.1,9.39,0.4,2.875,2,1.25,3.625,0.008,0
6.916064255,8.666666667,1.4,0.39,11.12,2,9.24,1.3,4.875,1,12.5,240.75,0.027,0
6.615295478,8.333333333,1.09,0.33,22.84,2.6,12.23,0.5,3.25,1,10.875,8,0.112,0
6.763591821,7.666666667,1.06,0.2,16.01,2.1,12.82,1.3,4.5,0,8.75,8,0.038,0
7.072540172,7.333333333,16.88,21.19,0,0,,1.4,11,56,0.875,0.875,7.87,72
7.926322619,7.1,29.86,8.11,0,0,,0.5,17.375,64,1.25,0.875,2.93,94
7.726093385,9.5,2.2,0.12,3.88,2.1,1.88,2.4,26.75,2,7,94.5,0.04,0
7.696678349,9.233333333,1.83,0.22,6.97,2.7,3.26,3.7,12.875,6,15.25,86.25,0.05,0
7.204605715,8.566666667,1.61,0.17,9.56,2.8,6.76,1.6,10,78,6.125,4.125,0.027,0
9.52874991,9.566666667,2.82,0.37,6.64,2.6,1.7,4.7,9.125,33,111.5,77.875,0.039,0
9.652669182,9.566666667,3.38,0.3,8.95,3.8,2.2,4.2,17.5,25,106.25,94.25,0.062,0
4.975211919,9.166666667,0.93,0.24,9.58,2.8,4.74,3.3,3.75,69,7.375,2088.25,0.037,0
7.426611335,8.833333333,3.09,0.34,3.26,1,1.98,0.3,6.25,5,2.625,0,0.05,0
7.248596196,9.333333333,1.1,0.1,9.34,1.7,4.24,2.3,2.625,4,9.25,0.25,0.042,0
7.570467063,7.3,1.68,0.1,15.71,2.4,1.15,0.9,6.5,6,24.625,1,0.025,0
8.562420899,8.8,12.95,6.8,11.05,4.2,,19.7,44.375,15,36.25,22.5,0.786,0
6.920706661,9.6,2.86,0.39,3.63,2.2,0.42,9.9,33.875,79,35.125,1172.125,0.063,0
7.47697735,9.333333333,0.88,0.2,3.92,1.2,2.63,1,3.375,5,15.875,104.125,0.028,0
7.640855546,7.3,20.72,7.37,0,0,0,0.5,24,79,0,0,2.59,62
6.424956089,2,0.09,0,10.42,0,10.19,0.2,0.25,10,0,0,0,0
7.002436472,6.333333333,17.41,0.97,0.74,0,,4.6,4.625,295,4.375,11.25,0.132,59
8.83142727,7.333333333,12.77,0.97,2.57,0,0,4.6,174.75,56,16.25,37.5,0.094,34
7.547239126,7.933333333,20.42,13.42,0,0,,0.9,4.25,59,4.875,6.25,3.05,55
8.769401117,8.466666667,19.3,6.04,60.65,17.4,10.7,10.5,78,24,5,8.375,0.626,0
1.366752999,1.333333333,6.24,27.84,63.64,1.9,53.96,13.8,10.5,64,1.625,11.5,17.99,9
3.635890752,3.666666667,11,5.7,80,5.3,0.67,15.9,20,419,0.25,13,0.85,0
3.880126928,3.2,9.64,0.6,83.76,7.5,3.69,3.5,44.625,643,11.625,1.375,0.15,0
4.897142593,2.866666667,4.82,5.56,26.03,0.2,21.11,15.5,2.625,73,1.125,61.125,3.22,53
2.031874647,2.766666667,8.7,15.2,71.6,4.8,,15.9,20.375,1003,0.25,47.5,2.91,3
3.500238418,3.333333333,6.1,15.5,70.8,4,,8.9,32.125,316,0,5.875,9.18,1
4.290814853,3.5,9.8,23.8,62.3,2.9,,4.1,30,283,0.25,2,3.2,0
2.522621611,2.666666667,8.5,12.1,72.35,10.7,7.29,35.7,16,1285,26.75,31.25,2.1,1
3.851518929,3.666666667,9.1,3.5,79.2,2.8,2.21,3.6,54,289,0,0,0.75,0
4.604827175,3.9,8.2,2.8,81.5,4.2,0.88,1.1,18.625,26,0,0,0.57,0
6.001490668,5.533333333,3.2,0.27,33.88,0.9,,0.5,4.875,5,0,0,,
6.457546292,5.666666667,5.8,0.93,30.86,1.8,0.56,0.7,16,1,0,0,0.176,0
4.367736873,5,8.38,30.76,57.54,3.9,0.26,2,59.125,439,0,0.125,4.384,0
3.823013546,5.8,6.61,0.58,79.34,,,0.9,10,1,0,0,0.158,0
4.017639968,3,6,17.74,41.21,1.4,9.89,5.3,24,428,0,0.625,3.989,0
6.76658577,5.666666667,7.14,2.64,14.44,1.9,5.04,1.2,9.375,129,6.25,37.5,0.87,17
5.650454638,3.466666667,3.57,2.78,13.1,0.8,4.76,6,13.375,393,3,24.75,0.992,8
3.848567581,3.6,17.88,9.23,59.58,5.9,27.3,43.4,65,486,24.125,22.375,4.687,0
6.249381395,4.333333333,2.73,1.3,20.72,1,12.83,8.6,5.625,58,17.375,7.375,0.041,5
3.684330452,3.833333333,4.6,9.5,53.3,1.8,4.85,1.3,6.375,478,0,39.75,1.398,6
4.575098208,3,1.8,10,34.9,1,9.89,0.8,3.75,325,3.375,25.125,1.679,0
2.223924609,3.333333333,4.4,10.2,72.02,1.1,33.7,2.3,43.75,334,0,120.25,1.69,0
2.502507596,3.4,4.67,10.56,69.23,1.1,28.59,1.1,48.125,334,0,128.5,2.618,0
3.177686323,3.5,5,19,49,1,28,1.5,12.5,380,0,1.875,4,70
